datetime,price,load,wind_generation,solar_generation,import_index,data_source,renewable_total,imports,has_import_data,import_index_proxy,has_capacity_data,available_capacity,available_capacity_proxy,country,hour,dayofweek,month,is_weekend,hour_sin,hour_cos,price_lag_1,price_lag_2,price_lag_3,price_lag_24,price_lag_48,price_lag_168,load_lag_1,load_lag_2,load_lag_24,load_lag_48,load_lag_168,renewable_lag_1,renewable_lag_24,rolling_price_mean_24,rolling_price_mean_168,rolling_price_std_24,rolling_price_std_168,rolling_load_mean_24,rolling_load_mean_168,high_price_dummy,negative_price_dummy,negative_price_dummy_lag_24,price_spike,net_load,renewable_share,wind_share,solar_share,scarcity_index,oversupply_index,low_net_load_dummy,high_renewable_dummy,is_public_holiday,is_christmas_week,holiday_load_window,is_public_holiday_lead_24,is_christmas_week_lead_24,holiday_load_window_lead_24,rolling_elasticity,log_load,log_load_lag_1,log_load_lag_24,log_demand_base,demand_base,price_ref,log_price_gap,log_price_gap_lag_1,log_price_gap_lag_2,log_price_gap_lag_24,demand_no_response,demand_responsive_immediate,demand_responsive_delayed,demand_responsive_dynamic,demand_responsive_high_price_only,import_share,net_load_p10,renewable_share_p90
2018-09-30 23:00:00+00:00,56.1,42126.0,6042.0,0.0,1.0202020749643017,opsd,6042.0,1.0202020749643017,False,1.0202020749643017,False,46167.202074964305,46167.202074964305,DE,23,6,9,1,-0.2588190451025215,0.965925826289068,56.1,56.1,56.1,56.1,56.1,56.1,42126.0,42126.0,42126.0,42126.0,42126.0,6042.0,6042.0,53.870000000000005,60.64333333333334,8.130906468531043,12.157840793233936,45798.166666666664,58835.333333333336,0,0,0.0,0.0,36084.0,0.14342686226692716,0.14342686226692716,0.0,0.9124457889304084,-36082.979797925036,0,0,0,0,0,0.0,0.0,0.0,0.2,10.648420406245304,,,10.594915258266438,39931.28010481102,60.64333333333334,-0.07787389651195196,-0.07787389651195196,-0.07787389651195196,-0.07787389651195196,39931.28010481102,39925.46448435303,39930.70678533389,39924.891248374566,39931.28010481102,2.4217871977877885e-05,22398.4,0.5415535268125997
2018-10-01 00:00:00+00:00,51.41,41500.0,6021.0,0.0,1.0381906432814088,opsd,6021.0,1.0381906432814088,False,1.0381906432814088,False,46179.94064328141,46179.94064328141,DE,0,0,10,0,0.0,1.0,56.1,56.1,56.1,56.1,56.1,56.1,42126.0,42126.0,42126.0,42126.0,42126.0,6042.0,6042.0,53.870000000000005,60.64333333333334,8.130906468531043,12.157840793233936,45798.166666666664,58835.333333333336,0,0,0.0,0.0,35479.0,0.1450843373459016,0.1450843373459016,0.0,0.898638379847751,-35477.96180935672,0,0,0,0,0,0.0,0.0,0.0,0.2,10.63344870621879,10.648420406245304,,10.631063302923515,41401.123740009345,60.64333333333334,-0.16517700297318938,-0.07787389651195196,-0.07787389651195196,-0.07787389651195196,41401.123740009345,41388.33531173236,41400.52931702684,41387.74107236168,41401.123740009345,2.501664200617812e-05,22398.4,0.5415535268125997
2018-10-01 01:00:00+00:00,47.38,42353.0,6342.0,0.0,1.0557189061381436,opsd,6342.0,1.0557189061381436,False,1.0557189061381436,False,46476.21890613814,46476.21890613814,DE,1,0,10,0,0.2588190451025207,0.9659258262890684,51.41,56.1,56.1,56.1,56.1,56.1,41500.0,42126.0,42126.0,42126.0,42126.0,6021.0,6042.0,53.870000000000005,60.64333333333334,8.130906468531043,12.157840793233936,45798.166666666664,58835.333333333336,0,0,0.0,0.0,36011.0,0.14974145868888292,0.14974145868888292,0.0,0.9112625544585358,-36009.94428109386,0,0,0,0,0,0.0,0.0,0.0,0.2,10.653794535823947,10.63344870621879,,10.636460121404212,41625.16209312169,60.64333333333334,-0.24680951030996312,-0.16517700297318938,-0.07787389651195196,-0.07787389651195196,41625.16209312169,41605.951528172,41622.64755310859,41603.4381486525,41625.16209312169,2.4926661773976267e-05,22398.4,0.5415535268125997
2018-10-01 02:00:00+00:00,47.59,43802.0,7144.0,0.0,1.0598069096848086,opsd,7144.0,1.0598069096848086,False,1.0598069096848086,False,48055.43190968481,48055.43190968481,DE,2,0,10,0,0.4999999999999999,0.8660254037844387,47.38,51.41,56.1,56.1,56.1,56.1,42353.0,41500.0,42126.0,42126.0,42126.0,6342.0,6042.0,53.870000000000005,60.64333333333334,8.130906468531043,12.157840793233936,45798.166666666664,58835.333333333336,0,0,0.0,0.0,36658.0,0.16309757544945214,0.16309757544945214,0.0,0.911468949031982,-36656.94019309031,0,0,0,0,0,0.0,0.0,0.0,0.2,10.687434757422512,10.653794535823947,,10.67678925989541,43338.179099704284,60.64333333333334,-0.24238705390758344,-0.24680951030996312,-0.16517700297318938,-0.07787389651195196,43338.179099704284,43318.53626396403,43335.354920800964,43315.71336510716,43338.179099704284,2.419539997398779e-05,22398.4,0.5415535268125997
2018-10-01 03:00:00+00:00,51.61,48065.0,7855.0,0.0,1.0486214905373592,opsd,7855.0,1.0486214905373592,False,1.0486214905373592,False,52454.02149053736,52454.02149053736,DE,3,0,10,0,0.7071067811865475,0.7071067811865476,47.59,47.38,51.41,56.1,56.1,56.1,43802.0,42353.0,42126.0,42126.0,42126.0,7144.0,6042.0,53.870000000000005,60.64333333333334,8.130906468531043,12.157840793233936,45798.166666666664,58835.333333333336,0,0,0.0,0.0,40210.0,0.16342452927986217,0.16342452927986217,0.0,0.9163079926579382,-40208.95137850946,0,0,0,0,0,0.0,0.0,0.0,0.2,10.780309540499916,10.687434757422512,,10.72930544668259,45674.9573138267,60.64333333333334,-0.1612942568799668,-0.24238705390758344,-0.24680951030996312,-0.07787389651195196,45674.9573138267,45661.18033179456,45673.72325528751,45659.94664548565,45674.9573138267,2.1816737553636586e-05,22398.4,0.5415535268125997
2018-10-01 04:00:00+00:00,69.13,56943.0,9493.0,0.0,0.9909501487658496,opsd,9493.0,0.9909501487658496,False,0.9909501487658496,False,61508.70014876585,61508.70014876585,DE,4,0,10,0,0.8660254037844386,0.5000000000000001,51.61,47.59,47.38,56.1,56.1,56.1,48065.0,43802.0,42126.0,42126.0,42126.0,7855.0,6042.0,53.870000000000005,60.64333333333334,8.130906468531043,12.157840793233936,45798.166666666664,58835.333333333336,0,0,0.0,0.0,47450.0,0.16671057021641447,0.16671057021641447,0.0,0.9257565593607582,-47449.009049851236,0,0,0,0,0,0.0,0.0,0.0,0.2,10.949806046483104,10.780309540499916,,10.846946471175158,51377.03034809277,60.64333333333334,0.13097908091657096,-0.1612942568799668,-0.24238705390758344,-0.07787389651195196,51377.03034809277,51389.61805661941,51377.74029067991,51390.32817314713,51377.03034809277,1.7402492821741868e-05,22398.4,0.5415535268125997
2018-10-01 05:00:00+00:00,77.32,62564.0,10491.0,208.0,0.9666803933777884,opsd,10699.0,0.9666803933777884,False,0.9666803933777884,False,67358.9661076635,67358.9661076635,DE,5,0,10,0,0.9659258262890684,0.2588190451025207,69.13,51.61,47.59,56.1,56.1,56.1,56943.0,48065.0,42126.0,42126.0,42126.0,9493.0,6042.0,57.21999999999999,60.64333333333334,11.560732387410985,12.157840793233936,48193.28571428572,58835.333333333336,1,0,0.0,0.0,51865.0,0.17100888689708124,0.1676842912830432,0.0033245956140380314,0.9288014018054959,-51864.03331960662,0,0,0,0,0,0.0,0.0,0.0,0.2,11.043945311794133,10.949806046483104,,11.029061699935923,61639.7171039845,60.64333333333334,0.2429429452995275,0.13097908091657096,-0.1612942568799668,-0.07787389651195196,61639.7171039845,61667.73181497269,61647.87968202259,61675.89810283094,61667.73181497269,1.5451064403847857e-05,22398.4,0.5415535268125997
2018-10-01 06:00:00+00:00,84.97,65636.0,10705.0,2008.0,0.9494324450840608,opsd,12713.0,0.9494324450840608,False,0.9494324450840608,False,70729.74494508406,70729.74494508406,DE,6,0,10,0,1.0,6.123233995736766e-17,77.32,69.13,51.61,56.1,56.1,56.1,62564.0,56943.0,42126.0,42126.0,42126.0,10699.0,6042.0,60.68875,60.64333333333334,14.519483892342729,12.157840793233936,50373.625,58835.333333333336,1,0,0.0,0.0,52923.0,0.19368943871970126,0.16309647144611045,0.030592967273590822,0.9279705307109827,-52922.050567554914,0,0,0,0,0,0.0,0.0,0.0,0.2,11.091879604895041,11.043945311794133,,11.100011187456948,66171.90045952317,60.64333333333334,0.33728854397484737,0.2429429452995275,0.13097908091657096,-0.07787389651195196,66171.90045952317,66213.65798326876,66176.08535814376,66217.84552275355,66213.65798326876,1.4465117390907365e-05,22398.4,0.5415535268125997
2018-10-01 07:00:00+00:00,79.56,66243.0,10201.0,5132.0,0.9863354489242164,opsd,15333.0,0.9863354489242164,False,0.9863354489242164,False,71765.00211559089,71765.00211559089,DE,7,0,10,0,0.9659258262890684,-0.2588190451025206,84.97,77.32,69.13,56.1,56.1,56.1,65636.0,62564.0,42126.0,42126.0,42126.0,12713.0,6042.0,62.78555555555555,60.64333333333334,14.967726205999954,12.157840793233936,52136.88888888889,58835.333333333336,1,0,0.0,0.0,50910.0,0.23146596621180404,0.1539936295132468,0.07747233669855726,0.9230417002375612,-50909.01366455108,0,0,0,0,0,0.0,0.0,0.0,0.2,11.101085077888659,11.091879604895041,,11.119018532534543,67441.68196505179,60.64333333333334,0.2715017449451688,0.33728854397484737,0.2429429452995275,-0.07787389651195196,67441.68196505179,67475.93774302665,67445.99056840678,67480.24853485849,67475.93774302665,1.488965549430622e-05,22398.4,0.5415535268125997
2018-10-01 08:00:00+00:00,73.7,67123.0,10670.0,8344.0,1.031458111801953,opsd,19014.0,1.031458111801953,False,1.031458111801953,False,73187.25811180196,73187.25811180196,DE,8,0,10,0,0.8660254037844387,-0.4999999999999998,79.56,84.97,77.32,56.1,56.1,56.1,66243.0,65636.0,42126.0,42126.0,42126.0,15333.0,6042.0,63.876999999999995,60.64333333333334,14.527656421842826,12.157840793233936,53635.5,58835.333333333336,0,0,0.0,0.0,48109.0,0.2832710099327612,0.1589619057527381,0.12430910418002313,0.9171275950500666,-48107.9685418882,0,0,0,0,0,0.0,0.0,0.0,0.2,11.114282036208994,11.101085077888659,,11.113052342331379,67040.50998697955,60.64333333333334,0.19499309015468844,0.2715017449451688,0.33728854397484737,-0.07787389651195196,67040.50998697955,67064.96445798886,67039.69119708157,67064.14536941962,67040.50998697955,1.5366686706294213e-05,22398.4,0.5415535268125997
